Brand,Year,Age,Engine_Size,Horsepower,Mileage,Fuel_Efficiency,Owners,Condition,Fuel_Type,Transmission,Price
Audi,2013,11,4.5,277,145684,19.2,4,6.7,Hybrid,Automatic,10500
BMW,2010,14,5.0,292,168222,16.7,4,4.9,Petrol,Automatic,5400
Mazda,2012,12,5.0,338,147942,19.4,2,5.9,Petrol,Manual,3400
Kia,2018,6,4.0,249,74910,25.1,3,10.0,Hybrid,Manual,10000
Toyota,2013,11,1.2,60,142919,46.8,3,8.2,Petrol,Automatic,3100
Chevrolet,2023,1,3.0,164,19855,42.5,1,10.0,Diesel,Automatic,23600
Volkswagen,2021,3,3.5,197,30866,30.9,1,10.0,Petrol,Manual,18400
Ford,2012,12,1.0,73,150984,39.5,3,4.7,Petrol,Automatic,1500
Tesla,2014,10,1.4,60,126379,31.9,4,8.5,Diesel,Automatic,15100
Audi,2020,4,3.5,215,41851,31.5,2,8.9,Diesel,Automatic,31500
Audi,2016,8,4.5,294,104237,24.4,2,9.2,Diesel,Automatic,17800
Mazda,2023,1,4.5,277,4259,25.9,1,10.0,Petrol,Automatic,33300
Hyundai,2013,11,3.5,196,126933,23.1,2,9.8,Petrol,Automatic,4200
Tesla,2018,6,1.6,102,74575,38.8,2,10.0,Petrol,Automatic,30800
Nissan,2010,14,1.2,62,168039,38.4,4,5.0,Diesel,Automatic,1200
Audi,2013,11,2.5,120,124246,34.3,4,6.6,Electric,Automatic,9300
Toyota,2018,6,5.0,329,72809,20.8,3,10.0,Diesel,Automatic,14700
Hyundai,2010,14,3.0,175,174205,27.5,2,6.6,Petrol,Automatic,2000
Kia,2012,12,2.5,165,149264,35.6,3,8.9,Electric,Automatic,3900
Audi,2018,6,3.5,212,84993,26.9,3,9.0,Hybrid,Automatic,22200
Toyota,2017,7,1.6,99,92474,39.0,2,7.8,Petrol,Automatic,5400
Tesla,2017,7,2.5,149,74401,37.3,3,7.6,Petrol,Automatic,21800
Subaru,2012,12,2.0,117,152721,37.9,4,5.2,Petrol,Manual,2100
Ford,2010,14,1.0,74,167884,38.6,3,5.0,Petrol,Automatic,1200
Toyota,2023,1,1.8,113,12506,39.8,1,10.0,Petrol,Manual,20800
Kia,2015,9,4.0,235,114351,22.3,4,7.9,Hybrid,Automatic,4800
Toyota,2018,6,4.5,276,89789,22.5,2,7.9,Hybrid,Automatic,12100
Subaru,2013,11,1.0,117,130346,37.4,3,6.7,Petrol,Manual,3000
Audi,2015,9,1.4,118,89327,40.6,3,6.2,Petrol,Manual,6700
BMW,2010,14,3.0,151,160846,30.0,2,6.6,Petrol,Automatic,5600
Ford,2016,8,3.0,149,97864,29.0,2,9.1,Petrol,Manual,5400
Kia,2019,5,1.0,84,44511,41.5,2,10.0,Petrol,Automatic,8000
Audi,2014,10,2.0,102,122289,34.0,5,6.5,Petrol,Manual,6700
Volkswagen,2019,5,4.0,251,27587,24.4,1,10.0,Petrol,Automatic,16100
Chevrolet,2011,13,1.6,117,141641,39.0,2,5.7,Diesel,Automatic,1700
Chevrolet,2017,7,5.0,313,99860,17.8,1,9.1,Diesel,Automatic,8900
Tesla,2019,5,4.5,274,53773,24.4,2,9.5,Diesel,Automatic,57300
Kia,2014,10,1.2,60,128995,39.9,5,7.8,Diesel,Automatic,2500
Tesla,2012,12,1.0,60,147827,40.5,4,4.9,Hybrid,Automatic,7400
Hyundai,2012,12,3.5,203,150328,19.7,5,5.9,Hybrid,Automatic,2800
Volkswagen,2022,2,3.5,203,33840,31.8,1,10.0,Petrol,Automatic,22100
BMW,2013,11,1.8,140,138241,37.4,2,7.2,Diesel,Automatic,8200
Hyundai,2019,5,4.0,227,62436,28.2,2,9.4,Petrol,Automatic,10300
Mercedes,2012,12,3.0,162,129519,24.8,5,6.7,Diesel,Automatic,8000
Volkswagen,2012,12,5.0,269,159700,18.1,5,6.3,Diesel,Automatic,3600
Audi,2010,14,1.4,92,172926,36.3,4,4.4,Diesel,Automatic,2900
Kia,2021,3,1.8,105,38851,38.1,1,10.0,Diesel,Automatic,12500
Mercedes,2012,12,2.5,138,165898,29.1,5,6.9,Petrol,Manual,6800
Volkswagen,2021,3,1.8,113,54761,42.4,2,10.0,Petrol,Manual,13000
Hyundai,2011,13,4.0,214,167794,22.1,5,5.3,Hybrid,Automatic,2400
Toyota,2011,13,3.5,186,150006,26.0,2,6.1,Diesel,Automatic,2700
Hyundai,2023,1,1.0,60,13202,46.0,1,10.0,Diesel,Automatic,14700
Tesla,2016,8,4.0,187,93317,24.4,1,9.4,Diesel,Automatic,28400
Audi,2014,10,1.8,122,131496,37.6,4,8.3,Petrol,Automatic,8000
Honda,2013,11,3.5,232,132740,31.9,4,5.6,Diesel,Automatic,3600
Toyota,2021,3,1.6,93,39840,40.4,1,9.9,Diesel,Automatic,15600
Hyundai,2016,8,2.5,123,110998,30.8,1,9.0,Hybrid,Automatic,5200
Kia,2012,12,1.4,91,138967,40.1,3,6.2,Petrol,Automatic,1600
Mazda,2019,5,4.5,259,62139,24.7,1,9.6,Petrol,Automatic,13900
Tesla,2015,9,4.0,244,109920,30.3,3,8.8,Hybrid,Automatic,27000
Volkswagen,2022,2,1.2,94,0,40.6,1,10.0,Petrol,Manual,16300
Kia,2023,1,5.0,290,4974,20.9,1,9.7,Diesel,Automatic,26100
Chevrolet,2015,9,1.2,103,121909,33.5,2,8.7,Petrol,Automatic,3400
Subaru,2015,9,1.8,122,101829,32.7,5,7.6,Petrol,Manual,4500
Audi,2018,6,2.5,152,81078,34.5,2,9.7,Diesel,Automatic,19100
Ford,2022,2,5.0,324,14903,25.9,1,10.0,Diesel,Automatic,31400
Mercedes,2014,10,4.5,267,124768,17.3,5,8.6,Petrol,Manual,14400
BMW,2018,6,1.0,71,71283,38.9,2,7.6,Hybrid,Automatic,13000
Volkswagen,2011,13,1.8,110,156893,36.0,5,7.4,Diesel,Automatic,2500
Ford,2014,10,1.8,117,125434,39.1,3,7.0,Diesel,Automatic,3200
Tesla,2016,8,3.0,169,73696,34.2,3,7.6,Diesel,Automatic,22800
BMW,2017,7,3.0,144,75151,32.4,2,10.0,Diesel,Manual,16800
Subaru,2010,14,1.6,103,183830,37.9,2,6.2,Petrol,Automatic,2100
Toyota,2015,9,2.0,125,85551,37.5,2,7.8,Diesel,Manual,4500
Chevrolet,2021,3,1.2,72,34648,47.6,1,10.0,Petrol,Manual,11300
Tesla,2016,8,4.0,252,97805,33.9,1,9.3,Diesel,Manual,27500
Chevrolet,2014,10,3.0,170,133018,28.1,5,6.7,Petrol,Automatic,3300
Tesla,2014,10,3.5,226,112034,29.5,2,8.3,Hybrid,Automatic,19800
Honda,2020,4,1.2,74,55754,43.4,2,9.0,Petrol,Automatic,10800
Mercedes,2019,5,5.0,272,60784,18.0,1,9.1,Electric,Automatic,43100
Toyota,2022,2,2.5,170,20703,35.2,1,9.4,Diesel,Automatic,23200
Toyota,2023,1,1.4,101,25885,34.5,1,10.0,Diesel,Manual,19800
Toyota,2017,7,2.5,147,89277,36.5,1,7.7,Petrol,Manual,6600
Toyota,2018,6,2.5,169,64294,32.6,3,9.0,Diesel,Manual,10000
Honda,2012,12,3.0,190,148442,27.9,2,7.6,Petrol,Automatic,3600
Kia,2016,8,1.0,60,99261,37.2,2,7.1,Petrol,Automatic,2700
Volkswagen,2013,11,1.8,125,125299,38.3,4,6.4,Hybrid,Automatic,3100
Toyota,2011,13,1.4,83,173014,36.8,3,4.7,Petrol,Automatic,1700
Chevrolet,2019,5,4.0,244,66227,30.4,2,10.0,Petrol,Automatic,11800
Hyundai,2015,9,4.0,214,102386,26.4,3,8.2,Diesel,Automatic,5100
Audi,2019,5,1.0,60,47204,40.6,2,9.8,Electric,Manual,23500
Subaru,2014,10,4.5,266,110767,18.4,2,8.3,Hybrid,Automatic,8500
Tesla,2015,9,2.0,107,115003,33.8,3,8.1,Electric,Manual,20000
Hyundai,2018,6,3.0,214,71650,37.3,3,8.5,Petrol,Manual,7400
Volkswagen,2021,3,1.4,93,20297,39.3,1,10.0,Electric,Automatic,19300
Volkswagen,2023,1,3.0,209,18916,38.4,1,10.0,Diesel,Automatic,26400
Honda,2018,6,5.0,306,74076,22.8,2,8.2,Petrol,Manual,10300
Tesla,2011,13,4.5,279,155604,23.0,3,5.9,Diesel,Automatic,10900
Mazda,2017,7,1.4,71,111418,39.7,2,9.9,Diesel,Manual,6100
Subaru,2015,9,3.5,181,109452,33.1,2,6.7,Petrol,Automatic,5500
Mazda,2020,4,2.5,143,36136,43.3,2,9.7,Electric,Automatic,16900
BMW,2010,14,1.0,60,164996,35.6,3,5.8,Diesel,Manual,3700
BMW,2023,1,3.5,206,3168,30.1,1,10.0,Diesel,Automatic,60300
Mazda,2022,2,1.2,85,35671,47.9,1,9.8,Petrol,Manual,14400
Toyota,2019,5,1.4,91,65081,36.8,1,10.0,Hybrid,Automatic,11600
Honda,2011,13,1.0,60,159436,37.4,3,7.4,Petrol,Automatic,2400
BMW,2011,13,4.5,264,161838,22.6,2,6.9,Diesel,Manual,7900
Honda,2015,9,1.8,109,114947,33.3,2,8.0,Hybrid,Automatic,5500
Tesla,2011,13,3.0,155,160625,29.2,5,6.3,Petrol,Manual,8600
Subaru,2018,6,1.8,93,82085,42.6,2,9.7,Electric,Automatic,11100
Audi,2019,5,4.0,231,66388,32.2,2,10.0,Petrol,Manual,25700
Toyota,2017,7,1.2,72,90454,47.0,3,8.7,Petrol,Automatic,5800
Honda,2021,3,5.0,308,28961,21.8,2,10.0,Petrol,Automatic,26400
Kia,2015,9,1.0,62,102134,46.2,4,8.2,Petrol,Manual,2700
Mercedes,2012,12,4.5,261,162811,17.2,4,4.2,Diesel,Automatic,6600
Mazda,2013,11,2.0,112,136308,35.2,2,5.6,Petrol,Automatic,2600
Toyota,2019,5,5.0,314,68600,23.6,2,9.8,Petrol,Automatic,17300
Mazda,2018,6,1.0,60,88265,34.6,3,8.4,Petrol,Automatic,5600
Ford,2013,11,3.5,188,138061,22.5,5,7.1,Petrol,Automatic,3600
Nissan,2022,2,1.0,60,19476,36.7,1,9.6,Diesel,Automatic,13800
Mercedes,2018,6,3.0,194,80460,31.0,2,9.4,Diesel,Automatic,21400
Volkswagen,2010,14,1.2,72,178231,37.3,3,4.3,Diesel,Automatic,1100
Honda,2011,13,4.0,260,165246,23.7,3,5.3,Hybrid,Automatic,3300
Nissan,2016,8,4.5,278,97145,26.4,2,8.1,Petrol,Manual,6300
Mazda,2020,4,1.2,60,42707,43.9,1,10.0,Petrol,Manual,10000
Tesla,2018,6,4.5,287,60721,26.2,3,9.0,Petrol,Automatic,42300
Toyota,2023,1,1.8,121,20731,34.9,1,10.0,Petrol,Automatic,22000
BMW,2011,13,1.6,126,139670,33.8,4,5.0,Petrol,Automatic,3700
BMW,2010,14,1.4,76,181883,41.0,3,6.6,Electric,Manual,5500
Mazda,2015,9,5.0,317,124100,15.6,4,9.0,Petrol,Automatic,7000
Hyundai,2021,3,1.2,97,51376,38.3,1,10.0,Petrol,Manual,9700
Kia,2021,3,3.5,190,20434,29.7,1,9.5,Diesel,Automatic,14100
Volkswagen,2014,10,1.0,65,124300,43.1,5,7.5,Diesel,Manual,2700
BMW,2014,10,4.5,279,120786,16.5,3,6.5,Petrol,Automatic,11600
Mazda,2011,13,3.5,223,159464,29.0,3,3.0,Petrol,Automatic,1200
BMW,2010,14,2.5,157,161762,36.2,2,5.2,Petrol,Automatic,4200
Tesla,2010,14,5.0,302,165403,18.5,4,6.2,Diesel,Automatic,10700
Volkswagen,2011,13,1.2,76,139865,40.3,2,6.8,Diesel,Automatic,1900
Hyundai,2020,4,1.6,114,54942,39.7,2,10.0,Diesel,Automatic,10100
Tesla,2023,1,2.0,116,0,43.0,1,10.0,Diesel,Automatic,99000
Subaru,2018,6,1.0,60,58769,46.9,2,10.0,Diesel,Automatic,9800
Honda,2015,9,5.0,300,94104,15.6,2,7.8,Petrol,Automatic,6500
Mazda,2011,13,5.0,311,158811,18.8,4,5.8,Petrol,Automatic,3000
Chevrolet,2014,10,1.6,89,125224,37.6,5,5.2,Diesel,Automatic,2100
Toyota,2022,2,1.6,97,37144,39.4,1,10.0,Petrol,Automatic,17600
Mercedes,2010,14,5.0,297,169252,16.7,4,7.9,Diesel,Automatic,10500
Tesla,2019,5,3.5,191,53070,27.8,1,10.0,Hybrid,Automatic,60000
Kia,2010,14,2.5,160,156124,31.4,4,5.3,Diesel,Manual,1400
BMW,2012,12,5.0,308,132100,21.2,2,5.0,Petrol,Automatic,7300
Ford,2019,5,2.0,108,77085,36.3,1,10.0,Diesel,Manual,7800
Mazda,2013,11,3.0,196,149157,24.4,3,5.6,Petrol,Manual,2600
BMW,2021,3,4.5,270,22546,28.5,2,10.0,Petrol,Automatic,54900
Mercedes,2011,13,2.5,127,142703,31.0,5,6.0,Petrol,Automatic,5600
Kia,2023,1,3.5,219,0,30.5,1,10.0,Diesel,Manual,23100
Mercedes,2011,13,3.0,172,159616,30.0,3,6.5,Petrol,Manual,6400
Hyundai,2014,10,1.2,60,120871,41.1,4,6.8,Hybrid,Automatic,2800
Mercedes,2012,12,2.0,123,143984,32.8,4,6.9,Petrol,Automatic,7600
Kia,2023,1,2.0,136,8386,38.1,1,10.0,Petrol,Manual,17600
Ford,2011,13,1.6,106,157202,33.3,2,8.4,Hybrid,Automatic,3000
Subaru,2013,11,1.4,92,124004,38.6,2,7.1,Electric,Automatic,4400
Subaru,2023,1,1.6,81,10559,37.9,1,10.0,Diesel,Automatic,25000
Honda,2023,1,4.5,292,18459,31.1,1,10.0,Petrol,Manual,29900
Volkswagen,2023,1,1.4,92,2775,47.1,1,10.0,Petrol,Manual,18900
Chevrolet,2021,3,2.0,112,25560,37.9,2,10.0,Petrol,Automatic,13300
Mercedes,2023,1,2.5,163,19621,36.9,1,10.0,Petrol,Manual,51700
Kia,2017,7,2.5,138,68672,37.1,2,7.8,Diesel,Automatic,4900
Chevrolet,2016,8,1.8,90,95599,40.5,3,7.3,Petrol,Automatic,4000
Subaru,2010,14,3.5,206,170914,23.3,2,4.9,Petrol,Automatic,2400
Kia,2021,3,3.0,212,29942,35.7,2,10.0,Petrol,Automatic,15300
BMW,2021,3,1.0,60,29956,43.3,2,10.0,Petrol,Manual,25900
Tesla,2010,14,1.8,71,169857,34.7,5,5.4,Diesel,Automatic,5700
BMW,2014,10,2.0,113,112182,37.6,3,7.4,Hybrid,Automatic,9200
Tesla,2018,6,3.5,191,66975,30.3,2,8.5,Petrol,Automatic,36300
Kia,2014,10,1.6,95,134556,42.4,4,9.7,Petrol,Manual,3200
Toyota,2017,7,1.2,63,71187,35.3,1,7.1,Petrol,Manual,5000
Ford,2023,1,1.0,67,0,47.2,1,10.0,Hybrid,Automatic,21800
Honda,2014,10,1.8,88,122341,35.6,3,7.1,Electric,Automatic,4700
Nissan,2011,13,1.4,74,151758,33.7,3,8.0,Diesel,Manual,2100
Ford,2016,8,2.5,165,98050,29.9,2,8.0,Petrol,Manual,4700
Kia,2011,13,4.5,257,166999,18.4,3,4.6,Petrol,Automatic,1700
Chevrolet,2013,11,2.0,123,134364,37.0,5,7.5,Petrol,Manual,2800
BMW,2019,5,1.6,90,75637,35.7,2,10.0,Petrol,Automatic,19100
Tesla,2016,8,1.8,101,84192,39.9,1,8.2,Diesel,Manual,19300
Chevrolet,2017,7,3.0,210,94240,33.3,3,7.7,Diesel,Automatic,5800
Kia,2015,9,1.8,109,122775,33.1,4,7.6,Diesel,Manual,2900
Volkswagen,2020,4,4.5,267,38928,28.7,1,10.0,Diesel,Manual,16900
Mercedes,2023,1,5.0,317,0,20.7,1,10.0,Petrol,Automatic,80200
Toyota,2020,4,1.4,95,58329,40.4,1,9.1,Petrol,Automatic,9600
Chevrolet,2015,9,4.0,243,104215,16.9,2,7.5,Petrol,Manual,4500
Hyundai,2013,11,3.0,174,128809,29.4,5,6.8,Petrol,Manual,2600
Volkswagen,2023,1,3.0,179,14452,38.0,1,10.0,Petrol,Manual,24700
BMW,2013,11,1.2,102,114371,35.4,4,7.6,Diesel,Manual,6500
Audi,2014,10,4.0,247,125553,24.7,2,9.6,Petrol,Automatic,14200
Ford,2012,12,3.5,189,137926,31.4,2,6.5,Diesel,Manual,2900
Honda,2021,3,4.0,261,38098,35.0,2,10.0,Petrol,Automatic,23000
Honda,2012,12,2.5,163,136892,31.7,5,6.2,Electric,Automatic,3500
Toyota,2016,8,1.8,100,86466,37.4,1,10.0,Diesel,Manual,7100
Toyota,2011,13,3.5,215,153315,23.9,5,5.9,Petrol,Automatic,3300
Hyundai,2020,4,1.2,70,39228,40.4,2,9.9,Petrol,Automatic,10300
Audi,2018,6,3.0,196,44404,35.2,2,8.6,Hybrid,Automatic,25900
Honda,2020,4,3.0,218,49828,32.7,2,10.0,Diesel,Manual,17500
Mercedes,2012,12,3.5,193,144242,30.7,5,6.4,Petrol,Automatic,8200
Honda,2013,11,5.0,297,141857,23.1,2,9.6,Hybrid,Manual,7600
Volkswagen,2022,2,3.5,208,25684,35.5,1,10.0,Petrol,Automatic,23300
Volkswagen,2018,6,1.8,119,66330,38.2,1,10.0,Petrol,Manual,7500
Honda,2018,6,1.4,108,88153,39.0,1,10.0,Diesel,Automatic,7400
Mazda,2020,4,1.4,79,41245,42.4,1,9.4,Hybrid,Manual,13000
Hyundai,2015,9,1.8,123,113139,37.0,5,8.6,Petrol,Automatic,3600
Ford,2010,14,2.0,130,186998,32.6,3,4.3,Petrol,Automatic,1200
Mazda,2020,4,1.6,80,47506,39.1,2,10.0,Hybrid,Manual,13000
Ford,2012,12,4.0,252,148952,24.1,2,6.4,Petrol,Automatic,3200
Mazda,2017,7,2.0,114,66997,38.1,2,7.3,Petrol,Automatic,5800
Chevrolet,2020,4,1.6,78,35268,43.7,2,10.0,Petrol,Automatic,10500
Chevrolet,2014,10,1.4,84,137218,37.7,2,7.4,Hybrid,Automatic,3300
Toyota,2017,7,2.5,122,77120,38.4,1,8.7,Petrol,Manual,7600
Ford,2013,11,2.5,145,122345,32.1,3,5.9,Petrol,Automatic,2400
Tesla,2016,8,2.0,118,94156,34.7,2,6.3,Hybrid,Manual,14100
Subaru,2010,14,1.4,61,172520,32.3,2,8.0,Diesel,Automatic,2500
Toyota,2023,1,3.0,196,6224,35.9,1,10.0,Petrol,Automatic,29900
Hyundai,2010,14,3.0,177,178382,28.3,4,5.4,Diesel,Automatic,1600
Subaru,2023,1,1.0,82,4906,45.5,1,10.0,Petrol,Automatic,25200
Volkswagen,2019,5,1.8,93,61448,36.7,2,10.0,Hybrid,Automatic,10000
BMW,2012,12,5.0,313,145139,14.0,2,5.4,Hybrid,Automatic,8400
Nissan,2022,2,4.0,261,12592,29.0,1,10.0,Diesel,Automatic,22200
Ford,2023,1,3.0,188,21175,27.1,1,10.0,Petrol,Automatic,22900
Tesla,2018,6,2.0,97,76709,39.5,2,8.7,Diesel,Automatic,26300
Mazda,2021,3,5.0,307,40886,18.0,2,10.0,Petrol,Automatic,23000
Tesla,2016,8,1.2,66,93467,36.4,1,8.2,Petrol,Manual,16500
Volkswagen,2011,13,5.0,306,169263,22.2,5,5.9,Electric,Automatic,3700
BMW,2023,1,3.0,186,12279,35.8,1,10.0,Petrol,Manual,46200
BMW,2023,1,4.0,238,14289,30.2,1,10.0,Hybrid,Automatic,62900
Mercedes,2013,11,1.8,85,133833,32.0,3,6.4,Hybrid,Automatic,7600
Honda,2022,2,1.4,84,10779,38.7,1,10.0,Hybrid,Automatic,22800
Subaru,2012,12,1.2,60,118697,37.1,2,5.6,Petrol,Automatic,2300
Ford,2014,10,2.5,143,118940,40.4,4,5.7,Petrol,Automatic,2500
Volkswagen,2015,9,1.8,125,111267,41.4,2,7.1,Hybrid,Automatic,4400
Toyota,2012,12,1.4,70,144288,36.8,4,8.2,Petrol,Manual,3100
Nissan,2020,4,3.5,199,61626,28.0,1,10.0,Hybrid,Automatic,14100
Chevrolet,2016,8,1.4,81,94487,38.4,1,9.3,Petrol,Manual,4000
BMW,2022,2,2.5,137,23812,35.3,1,10.0,Diesel,Manual,41000
Mazda,2014,10,5.0,290,128623,22.9,4,7.9,Petrol,Manual,5900
BMW,2022,2,3.0,158,25805,34.4,1,10.0,Petrol,Automatic,43300
Mazda,2013,11,2.0,127,113441,37.8,5,8.8,Petrol,Automatic,3400
Tesla,2010,14,2.5,153,163265,32.4,3,3.9,Petrol,Manual,4400
Tesla,2016,8,3.0,192,94061,30.2,1,6.5,Diesel,Manual,18800
Toyota,2016,8,2.5,142,94632,36.8,2,8.8,Petrol,Automatic,6500
Chevrolet,2014,10,3.0,187,102618,27.9,4,8.7,Petrol,Manual,4000
Volkswagen,2010,14,3.5,212,168002,25.5,3,6.0,Hybrid,Automatic,2700
Tesla,2018,6,2.0,132,63328,35.0,1,9.2,Petrol,Automatic,31900
